Home_team,Away_team,Home_form,Away_form,Home_avg_scored,Away_avg_scored,Home_avg_conceded,Away_avg_conceded,Result
Everton,Tottenham,5,8,0.8,1.8,1.2,1.2,A
Liverpool,Aston Villa,3,13,1.4,1.8,2.0,0.8,H
Tottenham,Chelsea,8,6,1.8,1.6,1.2,1.6,A
Nott'm Forest,Man United,1,12,0.2,2.2,1.8,1.4,D
Fulham,Wolves,3,2,1.2,1.0,2.0,2.0,H
Crystal Palace,Brentford,7,9,1.6,1.8,1.6,1.4,H
Burnley,Arsenal,7,13,1.6,1.4,2.0,0.4,A
Brighton,Leeds,8,7,2.0,1.6,1.8,1.6,H
West Ham,Newcastle,1,7,0.6,1.2,1.8,1.0,H
Man City,Bournemouth,10,9,1.8,2.0,0.6,1.2,H
Sunderland,Everton,10,4,1.2,0.8,0.8,1.8,D
Tottenham,Man United,7,10,1.4,2.2,1.0,1.6,D
Everton,Fulham,5,3,0.8,1.2,1.6,1.8,H
West Ham,Burnley,4,6,1.0,1.4,1.6,2.2,H
Sunderland,Arsenal,10,15,1.2,1.6,0.8,0.2,D
Chelsea,Wolves,9,2,1.6,0.8,1.2,2.0,H
Man City,Liverpool,12,3,2.2,1.4,0.6,1.8,H
Nott'm Forest,Leeds,1,4,0.4,1.0,2.0,2.0,H
Aston Villa,Bournemouth,12,8,1.6,2.2,1.0,1.8,H
Brentford,Newcastle,9,6,1.6,1.4,1.2,1.6,H
Crystal Palace,Brighton,7,10,1.6,2.2,1.4,1.4,D
Wolves,Crystal Palace,1,5,0.6,1.2,2.4,1.2,A
Burnley,Chelsea,6,12,1.6,2.0,1.8,0.6,A
Bournemouth,West Ham,7,6,1.8,1.4,2.2,1.8,D
Brighton,Brentford,8,9,1.6,1.6,1.2,1.2,H
Fulham,Sunderland,3,8,1.0,1.4,1.6,1.2,H
Liverpool,Nott'm Forest,3,4,1.2,1.0,2.0,2.0,A
Newcastle,Man City,6,12,1.4,1.8,1.8,0.4,H
Arsenal,Tottenham,13,7,1.6,1.6,0.4,1.2,H
Leeds,Aston Villa,3,12,0.8,1.8,2.2,0.8,A
Man United,Everton,11,7,2.4,1.0,1.4,1.4,A
Brentford,Burnley,9,6,1.8,1.4,1.4,1.8,H
Man City,Leeds,9,3,1.8,0.8,0.8,2.2,H
Sunderland,Bournemouth,8,5,1.4,1.6,1.0,2.4,H
Everton,Newcastle,7,6,0.8,1.4,1.2,2.0,A
Tottenham,Fulham,4,6,1.4,1.0,1.8,1.0,A
West Ham,Liverpool,7,3,1.8,1.0,1.8,2.2,A
Crystal Palace,Man United,8,8,1.4,2.0,0.8,1.6,A
Aston Villa,Wolves,12,0,1.8,0.4,0.8,2.6,H
Nott'm Forest,Brighton,7,10,1.6,1.8,1.6,1.2,A
Chelsea,Arsenal,12,13,2.0,2.0,0.4,0.6,D
Newcastle,Tottenham,9,4,2.0,1.4,1.8,1.8,D
Bournemouth,Everton,4,7,1.4,1.0,2.4,1.6,A
Fulham,Man City,9,9,1.4,2.0,1.0,1.2,A
Liverpool,Sunderland,6,8,1.2,1.6,1.8,1.4,D
Arsenal,Brentford,11,9,2.0,2.0,0.8,1.6,H
Brighton,Aston Villa,10,12,1.8,1.6,1.0,0.6,A
Burnley,Crystal Palace,3,7,1.2,1.0,2.4,0.6,A
Wolves,Nott'm Forest,0,7,0.4,1.6,2.4,1.4,A
Leeds,Chelsea,3,10,1.2,1.6,2.4,0.6,H
Man United,West Ham,8,7,2.0,1.8,1.6,1.8,D
Tottenham,Brentford,2,6,1.2,1.4,2.2,1.6,H
Leeds,Liverpool,3,7,1.4,1.0,2.4,1.4,D
Newcastle,Burnley,7,0,2.0,0.6,2.0,2.2,H
Aston Villa,Arsenal,12,11,2.2,2.2,1.2,0.8,H
Everton,Nott'm Forest,10,10,1.2,1.8,1.0,1.0,H
Bournemouth,Chelsea,1,10,1.0,1.6,2.6,0.8,D
Man City,Sunderland,12,6,3.0,1.4,1.8,1.4,H
Brighton,West Ham,10,8,2.0,1.8,1.0,1.6,D
Fulham,Crystal Palace,9,10,2.0,1.2,1.6,0.4,A
Wolves,Man United,0,6,0.0,1.4,2.0,1.4,A
Burnley,Fulham,0,6,0.8,1.6,2.2,2.0,A
Arsenal,Wolves,8,0,2.0,0.2,1.2,2.2,H
Chelsea,Everton,8,12,1.4,1.6,0.8,0.8,H
Liverpool,Brighton,5,8,1.2,1.6,2.0,1.2,H
Crystal Palace,Man City,10,12,1.2,3.0,0.6,1.6,A
Nott'm Forest,Tottenham,9,5,1.4,1.6,1.2,2.0,H
Sunderland,Newcastle,5,10,1.2,2.2,1.8,1.6,H
West Ham,Aston Villa,6,15,1.4,2.6,1.6,1.0,A
Brentford,Leeds,6,4,1.4,2.0,1.6,2.4,D
Man United,Bournemouth,8,2,1.8,0.8,1.2,2.0,D
Leeds,Crystal Palace,5,9,2.0,1.2,2.0,1.2,H
Everton,Arsenal,9,10,1.2,2.0,1.2,1.0,A
Wolves,Brentford,0,4,0.4,1.0,2.0,1.6,A
Tottenham,Liverpool,4,8,1.2,1.6,2.2,1.4,A
Brighton,Sunderland,7,7,1.6,1.0,1.6,1.4,D
Bournemouth,Burnley,3,0,1.6,0.8,2.0,2.2,D
Newcastle,Chelsea,10,8,2.0,1.2,1.2,0.8,D
Man City,West Ham,12,3,3.0,1.2,1.6,1.8,H
Aston Villa,Man United,15,8,2.4,2.2,1.4,1.6,H
Fulham,Nott'm Forest,9,9,2.2,1.4,2.0,1.0,H
Man United,Newcastle,8,8,2.4,2.0,1.8,1.4,H
Chelsea,Aston Villa,6,15,1.2,2.4,1.2,1.4,A
West Ham,Fulham,2,9,0.8,2.2,2.0,2.0,A
Burnley,Everton,1,6,1.0,1.0,2.0,1.4,D
Liverpool,Wolves,11,0,2.0,0.4,1.0,2.0,H
Arsenal,Brighton,10,5,1.4,1.2,0.8,1.4,H
Nott'm Forest,Man City,6,15,0.8,3.4,1.2,1.2,A
Brentford,Bournemouth,7,3,1.2,1.4,1.2,1.8,H
Sunderland,Leeds,8,8,1.0,2.6,1.2,1.8,D
Crystal Palace,Tottenham,6,4,1.0,1.2,2.0,1.8,A
Man United,Wolves,8,0,2.2,0.6,1.6,2.2,D
Burnley,Newcastle,2,5,0.8,1.2,1.4,1.4,A
Chelsea,Bournemouth,5,3,1.2,1.2,1.4,2.0,D
